"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract"
"Wilkins-Diehr N.; Majumdar A.","Wilkins-Diehr, Nancy (6506826243); Majumdar, Amit (7201437647)","6506826243; 7201437647","XSEDE13 special issue conference publications","2014","Concurrency and Computation: Practice and Experience","26","13","","2107","2111","4","1","10.1002/cpe.3308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905082804&doi=10.1002%2fcpe.3308&partnerID=40&md5=75c8cce3b6126fe76e5d8e6724e82969","The 2014 Special Issue of Concurrency and Computation: Practice and Experience presents papers from the XSEDE13 conference held in San Diego, July 2013. The conference is an annual gathering of the extended community of those interested in advancing research cyber infrastructure (CI) and digital resources. One paper looked at ECC available on many of the modern graphics processing units (GPUs) used in HPC machines. It looks at the penalty involved in utilizing ECC and compares molecular dynamics simulation results regarding ECC events triggered during such simulations. Making Campus Bridging Work for Researchers proposes utilization of Campus Bridging experts to make this transition easier while requiring minimal investment from the organizing body. The paper on computational finance is looking into the impact of high frequency trading on the stock market. It discusses how the simulation, for this research, was speeded up by two orders of magnitude on XSEDE HPC resources."
"Rossi M.","Rossi, Marco (57188655100)","57188655100","Realized Volatility, Liquidity, and Corporate Yield Spreads","2014","Quarterly Journal of Finance","4","1","1450004","","","","23","10.1142/S2010139214500049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962115324&doi=10.1142%2fS2010139214500049&partnerID=40&md5=eb8ff30bbc18b2a215e37209ec9787fe","I propose a friction measure of bond round-trip liquidity costs that is robust to outliers and accounts for the idiosyncratic information behind trading decisions. Particularly effective with investment-grade bonds, the proposed measure displays properties consistent with the credit risk puzzle. Using transactions from January 2004 to December 2011, I find that liquidity costs display a strong correlation with credit conditions and peaked during the sub-prime crisis. After controlling for equity volatility with high-frequency measures, liquidity costs explain a substantial fraction of the variation in the yield spreads of highly rated bonds, but become less important for speculative-grade bonds. © 2014 World Scientific Publishing Company and Midwest Finance Association."
"Easwaran S.; Dixit M.; Sinha S.","Easwaran, Soumya (57188753691); Dixit, Manu (56964765600); Sinha, Sitabhra (57209803226)","57188753691; 56964765600; 57209803226","Bitcoin Dynamics: The Inverse Square Law of Price Fluctuations and Other Stylized Facts","2015","New Economic Windows","","","","121","128","7","11","10.1007/978-3-319-08473-2_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144906251&doi=10.1007%2f978-3-319-08473-2_4&partnerID=40&md5=ef6b6036ed51b3ab4f436502f27bd9eb","Analysis of time-series data of different markets have produced evidence for several stylized facts (universal features) including heavy tails characterized by power law exponents, which provide us tantalizing hints of the dynamics underlying such complex systems. It is especially important to see how these features evolve over time after the market is created and gradually develops. The recent advent of the digital currency, Bitcoin, and its growing popularity as an asset traded between agents over the last few years, provides us with an invaluable dataset for such a study. Similar to many financial markets, Bitcoin is de-centralized and its value is not controlled by a single institution, (e.g., a central bank). Here we have analyzed high-frequency Bitcoin trading data (with a resolution of one tick, i.e., a single trading event). We show that the distribution of price fluctuation (measured in terms of logarithmic return) has a heavy tail. The exponent of the tail implies that Bitcoin fluctuations follow an inverse square law, in contrast to the inverse cubic law exhibited by most financial and commodities markets. The distribution of transaction sizes and trading volume are seen to have Levy-stable distribution. Multi-scale analysis show the presence of long term memory effects in market behavior. © Springer International Publishing Switzerland 2015."
"Jabbur E.; Silva E.; Castilho D.; Pereira A.; Brandão H.","Jabbur, Eduardo (56426527400); Silva, Everton (55830470500); Castilho, Douglas (56401845900); Pereira, Adriano (35579191200); Brandão, Humberto (36719309300)","56426527400; 55830470500; 56401845900; 35579191200; 36719309300","Design and evaluation of automatic agents for stock market intraday trading","2014","Proceedings - 2014 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology - Workshops, WI-IAT 2014","3","","","396","403","7","10","10.1109/wi-iat.2014.194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931677932&doi=10.1109%2fwi-iat.2014.194&partnerID=40&md5=71acc28d881b5f4fc6d71bec7e861719","Automated trading has become very popular in electronic markets, such as stock market. The design and evaluation of trading agents are not trivial due to the complexity and dynamics of this scenario. Using an actual and reliable dataset from the Brazilian Stock Exchange, and aiming to support the Market Making process in High-Frequency Trading, in this work we design and evaluate some models of automated agents for stock market intraday trading. The modeled strategies are inspired by the Elliot Wave Principle and based on some technical concepts commonly used by stock market analysts. The results are promising, besides it is clearly that financial gains are not trivial to acquire. A variety of results were observed, part of them providing gains for all assets in specific trading days, and other part showing losses for other trading days. A rich experimental analysis provide interesting findings and insights, which will contribute for designing more effective trading agents. © 2014 IEEE."
"Susai M.; Yoshida Y.","Susai, Masayuki (56162125000); Yoshida, Yushi (57214926218)","56162125000; 57214926218","Algorithm Trading in Asian Currency FX Markets","2014","Handbook of Asian Finance: REITs, Trading, and Fund Performance","2","","","185","205","20","1","10.1016/B978-0-12-800986-4.00010-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941069543&doi=10.1016%2fB978-0-12-800986-4.00010-8&partnerID=40&md5=38af8415ef68a54e2a55404ae15c00b0","We investigate a unique EBS foreign exchange dataset that provides each individual order a distinct ID number with a time stamp on entry and another time stamp on exit. Using this dataset for the Australian dollar and the Japanese yen, we measure how long an individual limit order remains in the foreign exchange markets. A large number of limit orders are canceled within a split second, which is evidence for algorithmic trading in the foreign exchange market. While more than 80% of limit orders are canceled in the JPY/USD spot market, the cancelation rates are even higher in the JPY/AUD and AUD/USD spot markets. At the minute frequency, we find weak evidence of correlated cancelation activities among three spot markets. We conclude that the cross-rate JPY/AUD market is characterized by a mixture of algorithm trading and triangular arbitrage trading. © 2014 Elsevier Inc. All rights reserved."
"Li L.; Zhang C.; Yang Z.","Li, Le (56194051200); Zhang, Chunyi (56454547100); Yang, Zhishu (22036635300)","56194051200; 56454547100; 22036635300","Statistical calendar spread arbitrage strategy using intraday high frequency data of the Shanghai and Shenzhen 300 stock index futures","2014","Qinghua Daxue Xuebao/Journal of Tsinghua University","54","8","","1080","1086","6","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919480778&partnerID=40&md5=38e7cbc67524a96b3b6d51198c6df1fd","This study analyzes statistical calendar spread arbitrage strategies based on intraday high frequency data for the Shanghai and Shenzhen 300 stock index futures using a model designed to explain the price spread between two Shanghai and Shenzhen 300 stock index future contracts and a model to trigger or stop arbitrage trades. The two models are then combined into a single arbitrage strategy algorithm for Shanghai and Shenzhen 300 stock index futures with methods given to estimate the proper model parameters. A half second of sample data is used to empirically validate the algorithm's effectiveness with a strict hypothesis on transaction cost. ©, 2014, Press of Tsinghua University. All right reserved."
"Masteika S.; Vaitonis M.","Masteika, Saulius (6504396149); Vaitonis, Mantas (56527190200)","6504396149; 56527190200","Quantitative research in high frequency trading for natural gas futures market","2015","Lecture Notes in Business Information Processing","228","","","29","35","6","4","10.1007/978-3-319-26762-3_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952668107&doi=10.1007%2f978-3-319-26762-3_3&partnerID=40&md5=54a88e42db885a538fbab80e0cf1464c","High frequency trading (HFT) in micro or milliseconds has recently drawn attention of financial researches and engineers. In nowadays algorithmic trading and HFT account for a dominant part of overall trading volume. The main objective of this research is to test statistical arbitrage strategy in HFT natural gas futures market. The arbitrage strategy attempts to profit by exploiting price differences between successive futures contracts of the same underlying asset. It takes long/short positions when the spread between the contracts widens; hoping that the prices will converge back in the near future. In this study high frequency bid/ask and last trade records were collected from NYMEX exchange. The strategy was back tested applying MatLab software of technical computing. Statistical arbitrage and HFT has given positive results and refuted the efficient market hypothesis. The strategy can be interesting to financial engineers, market microstructure developers or market participants implementing high frequency trading strategies. © Springer International Publishing Switzerland 2015."
"Vella V.; Ng W.L.","Vella, Vince (58708810600); Ng, Wing Lon (24401964100)","58708810600; 24401964100","Enhancing risk-adjusted performance of stock market intraday trading with Neuro-Fuzzy systems","2014","Neurocomputing","141","","","170","187","17","28","10.1016/j.neucom.2014.03.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901603197&doi=10.1016%2fj.neucom.2014.03.026&partnerID=40&md5=264fdecf4203f8dba93474303f25e7e8","Whilst the interest of many former studies on the application of AI in finance is solely on predicting market movements, trading practitioners are predominantly concerned about risk-adjusted performance. This paper provides new insights into improving the time-varying risk-adjusted performance of trading systems controlled by Artificial Neural Networks (ANNs), Adaptive Neuro-Fuzzy Systems (ANFIS) or Dynamic Evolving Neuro Fuzzy Systems (DENFIS). Contrary to most former studies which focus on daily predictions, we compare these models in an intraday stock trading scenario using high-frequency data. Firstly, we propose a dynamic extension of the popular moving average rule and enhance it with a model validation methodology using heat maps to analyse favourable profitability in specific holding time and signal regions. Secondly, we study the effect of realistic constraints such as transaction costs and intraday trading hours, which many existing approaches in the literature ignore. Thirdly, unlike most former studies that only aim to minimise statistical error measures, we compare this approach with financially more relevant risk-adjusted objective functions. To this end, we also consider an innovative ANFIS ensemble architecture which on an intraday level dynamically selects between different risk-adjusted models. Our study shows that accounting for transaction costs and the use of risk-return objective functions provide better results in out-of-sample tests. Overall, the ANN model is identified as a viable model, however ANFIS shows more stable time-varying performance across multiple market regimes. Moreover, we find that combining multiple risk-adjusted objective functions using an ANFIS ensemble yields promising results. © 2014 Elsevier B.V."
"Lee J.","Lee, Jieun (57189462557)","57189462557","Econometric measures of liquidity","2015","Handbook of Financial Econometrics and Statistics","","","","1311","1323","12","0","10.1007/978-1-4614-7750-1_99","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945127309&doi=10.1007%2f978-1-4614-7750-1_99&partnerID=40&md5=bc32e20c23494588862e98134ebd7cf5","A security is liquid to the extent that an investor can trade significant quantities of the security quickly, at or near the current market price, and bearing low transaction costs. As such, liquidity is a multidimensional concept. In this chapter, I review several widely used econometrics or statistics–based measures that researchers have developed to capture one or more dimensions of a security′s liquidity (i.e., limited dependent variable model (Lesmond, D. A. et al. Review of Financial Studies, 12(5), 1113–1141, 1999) and autocovariance of price changes (Roll, R., Journal of Finance, 39, 1127–1139, 1984). These alternative proxies have been designed to be estimated using either low–frequency or high–frequency data, so I discuss four liquidity proxies that are estimated using low–frequency data and two proxies that require high–frequency data. Low–frequency measures permit the study of liquidity over relatively long time horizons; however, they do not reflect actual trading processes. To overcome this limitation, high–frequency liquidity proxies are often used as benchmarks to determine the best low–frequency proxy. In this chapter, I find that estimates from the effective tick measure perform best among the four low–frequency measures tested. © Springer Science+Business Media New York 2015."
"Carlone G.","Carlone, Giulio (56392679100)","56392679100","High frequency trading an analysis regarding volatility and liquidity starting from a base case of algorithms and a dedicated software architecture","2014","IEEE/IAFE Conference on Computational Intelligence for Financial Engineering, Proceedings (CIFEr)","","","6924075","210","214","4","0","10.1109/CIFEr.2014.6924075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908131320&doi=10.1109%2fCIFEr.2014.6924075&partnerID=40&md5=34d4c99bd06d8f0f49eb08b6919337b2","High-frequency algorithmic trading has had significant success in recent years due to technological advances and innovations around trading activities. The technique involves the use of algorithms to acquire, process and react to market information at high speed. This paper introduces a reference architecture for performing such trading and dissects a example transaction. We show the life-cycle of the connections between the client and the trading platform; the structure and dynamics of the data processed by the algorithm, and the response of the trading platform. The paper helps understand the components involved in this process and acts as a basic use-case that allows the reader to develop further more sophisticated financial applications. © 2014 IEEE."
"","","","Testimony of terrence a. Duffy, executive chairman and president, cme group. Hearing on ''high frequency and automated trading in futures markets''","2014","High-Frequency Trading: Elements, Considerations, Perspectives","","","","145","148","3","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954348605&partnerID=40&md5=9e09ef5e8b90c4eed28f8cd1d61c1f9c","[No abstract available]"
"Mwamba J.M.","Mwamba, John Muteba (55148113500)","55148113500","The effect of probability and uncertainty models on hedge fund performance analysis","2014","Journal of Applied Business Research","30","5","","1339","1352","13","0","10.19030/jabr.v30i5.8791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906809202&doi=10.19030%2fjabr.v30i5.8791&partnerID=40&md5=4fd8f93cfa466c68e5fe7db848b0c758","This paper implements two types of framework to investigate the outperformance, selectivity, and market timing skills in hedge funds: uncertainty and probability. Using the uncertainty framework, the paper develops an uncertain fuzzy credibility regression model in the form of a linear and quadratic CAPM in order to estimate these performance skills. Using the probability framework the paper implements frequentist and Bayesian CAPMs (linear and quadratic) to estimate the same performance skills. We consider a data set of monthly investment style indices published by Hedge Fund Research group. The data set extends from January 1995 to June 2010. We divide this sample period into four overlapping sub-sample periods that contain different market trends. Using the probability framework, our results show that bounded rationality triggers inefficiencies in the market that fund managers can utilise to outperform the market. This market outperformance is due to selectivity and market timing skill during periods of economic recovery only. We admit that these results contradict the rational expectations model. However, with the uncertainty framework this effect disappears on behalf of the rational expectations model and the efficient market hypothesis. This disappearance may be a result of the increased amount of high frequency trading witnessed recently that has made market inefficiencies, which are the main source of hedge fund performance, rarer."
"MacKenzie D.; Pablo Pardo-Guerra J.","MacKenzie, Donald (7201662831); Pablo Pardo-Guerra, Juan (56162351200)","7201662831; 56162351200","Insurgent capitalism: Island, bricolage and the re-making of finance","2014","Economy and Society","43","2","","153","182","29","53","10.1080/03085147.2014.881597","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902343518&doi=10.1080%2f03085147.2014.881597&partnerID=40&md5=a8896e301d65e316a29fafc0e4d1f159","Drawing on recent discussions of the material cultures of markets and of financial innovation as bricolage, this paper explores the development of Island, a new share-trading venue set up in 1995. We examine Island's roots in a very specific conflict in the US financial markets and in the information libertarianism of 'hacker culture', and examine the material bricolage involved in Island's construction. The paper also outlines the processes that led to a dramatic 'Latourian' change of scale: Island was originally a 'micro' development on the fringes of US markets, but within little more than a decade key features of Island became close to compulsory, as the nature of North American and Western European share trading changed utterly. © 2014 Copyright Taylor & Francis."
"Kemp R.","Kemp, Richard (8956539500)","8956539500","MiFID II -A radical contribution to the development of data law?","2014","Computer Law and Security Review","30","4","","445","446","1","1","10.1016/j.clsr.2014.05.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905124263&doi=10.1016%2fj.clsr.2014.05.016&partnerID=40&md5=2d5d4853544ccdcd0635d901a583c1cd","Away from the hubbub about HFT (High Frequency Trading) a quiet storm is blowing in to the EU that will radically change securities trading in bonds, OTC derivatives and other asset classes. The rules, called MiFID II,2 top off the alphabet soup of an extensive new rule book that, after the European Parliament's 'Super Tuesday' on 15 April 2014, is finally set to become law. Radical changes are afoot! © 2014 Kemp IT Law. Published by Elsevier Ltd. All rights reserved."
"Hasbrouck J.; Saar G.","Hasbrouck, Joel (7003316791); Saar, Gideon (6506026732)","7003316791; 6506026732","Low-latency trading","2013","Journal of Financial Markets","16","4","","646","679","33","379","10.1016/j.finmar.2013.05.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886303256&doi=10.1016%2fj.finmar.2013.05.003&partnerID=40&md5=2c5b9aaa202a35b3b2578c310b85bbe8","We define low-latency activity as strategies that respond to market events in the millisecond environment, the hallmark of proprietary trading by high-frequency traders though it could include other algorithmic activity as well. We propose a new measure of low-latency activity to investigate the impact of high-frequency trading on the market environment. Our measure is highly correlated with NASDAQ-constructed estimates of high-frequency trading, but it can be computed from widely-available message data. We use this measure to study how low-latency activity affects market quality both during normal market conditions and during a period of declining prices and heightened economic uncertainty. Our analysis suggests that increased low-latency activity improves traditional market quality measures-decreasing spreads, increasing displayed depth in the limit order book, and lowering short-term volatility. Our findings suggest that given the current market structure for U.S. equities, increased low-latency activity need not work to the detriment of long-term investors. © 2013 Elsevier B.V."
"Chan C.-H.; Ma A.K.C.","Chan, Chun-Hin (16169208100); Ma, Alfred Ka Chun (35324807700)","16169208100; 35324807700","Order-based manipulation: Evidence from Hong Kong stock market","2014","Journal of Financial Crime","21","1","17102650","111","118","7","10","10.1108/JFC-02-2013-0008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891098503&doi=10.1108%2fJFC-02-2013-0008&partnerID=40&md5=ae11d6b94d1cd8ee44f05670a1468abb","Purpose - The paper aims to investigate order-based manipulation that consists of order-placing strategies. Design/methodology/approach - Using the bid and ask record provided by Hong Kong Exchanges and Clearing Limited, a Level II dataset, the paper develops a methodology to obtain cancelled orders during regular trading hours. The paper examines the cancelled orders and potential order-based manipulation activities, as well as the corresponding behavior of different groups of stocks. Findings - Empirical results show that the relationship between order cancellation and order-based manipulation is strong and deserves more attention. Originality/value - The methodology can also be used by regulators and authorities to monitor suspicious activities in the market. This paper also suggests that analysis on high-frequency data does improve the understanding of trading activities in the stock market. Copyright © 2014 Emerald Group Publishing Limited. All rights reserved."
"Xiang J.; Zhu X.","Xiang, Ju (55775463100); Zhu, Xiaoneng (36647148700)","55775463100; 36647148700","Intraday asymmetric liquidity and asymmetric volatility in FTSE-100 futures market","2014","Journal of Empirical Finance","25","","","134","148","14","6","10.1016/j.jempfin.2013.10.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893478541&doi=10.1016%2fj.jempfin.2013.10.008&partnerID=40&md5=090893d6486b5f2118a008dcbe8d2330","In this study, we use both quote and trade data for the FTSE-100 futures for 2001-2004 in order to examine asymmetric volatility in the context of extreme sells. We define extreme sells as ask quotes that involve large percentages of total depth, selling orders executed at prices much closer to bids than to asking prices, and consecutive sell-initiated trades. Sell trades tend to demand higher liquidity than buys, while extreme trading conditions demand more liquidity than non-extreme ones. In extreme sells, liquidity demand surpasses supply. We show that asymmetric liquidity (quote demand vs. supply) better explains the asymmetric volatility observed in high-frequency data than trade information does. Ask-depth share plays a dominant role in asymmetric volatility, while order flow (sell-initiated volume share) makes a far smaller contribution. © 2013."
"Dixon M.; Khan S.A.; Zubair M.","Dixon, Matthew (55982004900); Khan, Sabbir Ahmed (56193864500); Zubair, Mohammad (58787930700)","55982004900; 56193864500; 58787930700","Accelerating option risk analytics in R using GPUs","2014","Simulation Series","46","5","","186","192","6","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901829715&partnerID=40&md5=216c7760cfb3ba8b8ae1fbc2ecc2caf6","Broadly, a major prerequisite for analytics applications is robustness to modeling idiosyncrasies. As a result, there is a demand for comprehensive model exploration and validation in high level statistical programming environments such as R. Many financial applications require on-demand processing, which in turn requires fast modeling and calibration computations. In this paper we describe our work on speeding up the calibration of a Heston stochastic volatility model, a financial application, on GPUs. The Heston volatility model is used extensively across the capital markets to price and measure the market risk of exchange traded financial options. However, a typical R based implementation of the Heston model calibration on a CPU does not meet the performance requirements for sub-minute level trading, i.e. mid to high frequency trading. The calibration of a Heston model is performed over M option data points which remains fixed during the calibration computation. The most computation intensive part of this computation is the ErrorFunction() which estimates the error between market observed and model option prices. We have implemented the ErrorFunction() using a Map-Reduce design pattern leading to efficient implementation on various architectures including GPUs. In this paper, we describe the implementation of a GPU optimized kernel for this computation that can be called by the R script performing the calibration process. For M = 1024 we demonstrate a factor of 760x improvement in the overall calibration time over the R sequential implementation by off-loading ErrorFunction() on a system with an Intel Core i5 processor and NVIDIA Tesla K20c (Kepler architecture) consisting of 2496 cores. Note that not all the performance gain is due to the GPU- partly it is due to the reduction in the overhead of R for the Heston model calculation. For comparison we also implemented the calibration code using C/C + +. We observed a speed up of 230x for the GPU based implementation over the C/C + + indicating that a factor of 3.4x improvement is due to avoiding the R overhead for the Heston model calculation. However, the overall calibration time using R based optimization routines combined with the GPU off-loaded ErrorFunction() is comparable to a C/C + + GPU based calibration code."
"Firk F.W.K.","Firk, Frank W. K. (6508197035)","6508197035","R-matrix analysis of structures in economic indices: From nuclear reactions to high-frequency trading","2014","Journal of Physics: Conference Series","490","1","012031","","","","0","10.1088/1742-6596/490/1/012031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896937626&doi=10.1088%2f1742-6596%2f490%2f1%2f012031&partnerID=40&md5=7b8c4373ec9d43d96a085e83d5ad97e4","It is shown that the R-matrix theory of nuclear reactions is a viable mathematical theory for the description of the fine, intermediate and gross structure observed in the time-dependence of economic indices in general, and the daily Dow Jones Industrial Average in particular. A Lorentzian approximation to R-matrix theory is used to analyze the complex structures observed in the Dow Jones Industrial Average on a typical trading day. Resonant structures in excited nuclei are characterized by the values of their fundamental strength function, (average total width of the states)/(average spacing between adjacent states). Here, values of the ratios (average lifetime of individual states of a given component of the daily Dow Jones Industrial Average)/(average interval between the adjacent states) are determined. The ratios for the observed fine and intermediate structure of the index are found to be essentially constant throughout the trading day. These quantitative findings are characteristic of the highly statistical nature of many-body, strongly interacting systems, typified by daily trading. It is therefore proposed that the values of these ratios, determined in the first hour-or-so of trading, be used to provide valuable information concerning the likely performance of the fine and intermediate components of the index for the remainder of the trading day. © Published under licence by IOP Publishing Ltd."
"Hautsch N.; Malec P.; Schienle M.","Hautsch, Nikolaus (17134891900); Malec, Peter (55939969900); Schienle, Melanie (55547391200)","17134891900; 55939969900; 55547391200","Capturing the zero: A new class of zero-augmented distributions and multiplicative error processes","2013","Journal of Financial Econometrics","12","1","nbt002","89","121","32","30","10.1093/jjfinec/nbt002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888329392&doi=10.1093%2fjjfinec%2fnbt002&partnerID=40&md5=4be9ec70dfe4787e4a1f464edd9bfd62","We propose a novel approach to model serially dependent positivevalued variables which realize a non-trivial proportion of zero outcomes. This is a typical phenomenon in financial time series observed at high frequencies, such as cumulated trading volumes. We introduce a flexible point-mass mixture distribution and develop a semiparametric specification test explicitly tailored for such distributions. Moreover, we propose a new type of multiplicative error model based on a zero-augmented distribution, which incorporates an autoregressive binary choice component and thus captures the (potentially different) dynamics of both zero occurrences and of strictly positive realizations. Applying the proposed model to high-frequency cumulated trading volumes of both liquid and illiquid NYSE stocks, we show that the model captures the dynamic and distributional properties of the data well and is able to correctly predict future distributions. © The Author, 2013. Published by Oxford University Press. All rights reserved."
"Kawakubo S.; Izumi K.; Yoshimura S.","Kawakubo, Saki (56286188300); Izumi, Kiyoshi (7203048296); Yoshimura, Shinobu (35595524400)","56286188300; 7203048296; 35595524400","How does high frequency risk hedge activity have an affect on underlying market?: Analysis by artificial market model","2014","Journal of Advanced Computational Intelligence and Intelligent Informatics","18","4","","558","566","8","2","10.20965/jaciii.2014.p0558","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904580626&doi=10.20965%2fjaciii.2014.p0558&partnerID=40&md5=559bcdc700c0d405b9f9c01ac210f251","The effect of option markets on their underlying markets has been studied intensively since the first option contract was listed. Despite considerable effort, including the development of theoretical and empirical approaches, we do not yet have conclusive evidence on this effect. We investigate the effect of option markets, especially that of dynamic hedging, on their underlying markets by using an artificial market. We propose a two-market model in which an option market and its underlying market interact. In our model, there are three types of agents, underlying local agents trading only on the underlying market, option local agents who trade only on the option market, and global agents who trade both on the underlying and the option market. In this simulation, we investigate the effect of hedgers, a global agent, to the underlying market. Hedgers who have option contracts trade the underlying asset to keep a delta neutral position. This hedge behavior is called dynamic hedging. We simulate two scenarios; one is the hedge with low frequency and the other is the hedge with high frequency that hedger can send hedge order anytime when hedge miss appears. We confirmed that dynamic hedging increases or decreases the volatility of the underlying market under certain conditions."
"Andersen T.G.; Bondarenko O.","Andersen, Torben G. (7201524371); Bondarenko, Oleg (7005274665)","7201524371; 7005274665","Reflecting on the VPIN dispute","2014","Journal of Financial Markets","17","1","","53","64","11","20","10.1016/j.finmar.2013.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891828976&doi=10.1016%2fj.finmar.2013.08.002&partnerID=40&md5=afb90f51cb04fbbb5980c21a408de70a","In Andersen and Bondarenko (2014), using tick data for S&P 500 futures, we establish that the VPIN metric of Easley, López de Prado, and O'Hara (ELO), by construction, will be correlated with trading volume and return volatility (innovations). Whether VPIN is more strongly correlated with volume or volatility depends on the exact implementation. Hence, it is crucial for the interpretation of VPIN as a harbinger of market turbulence or as a predictor of short-term volatility to control for current volume and volatility. Doing so, we find no evidence of incremental predictive power of VPIN for future volatility. Likewise, VPIN does not attain unusual extremes prior to the flash crash. Moreover, the properties of VPIN are strongly dependent on the underlying trade classification. In particular, using more standard classification techniques, VPIN behaves in the exact opposite manner of what is portrayed in ELO (2011a, 2012a). At a minimum, ELO should rationalize this systematic reversal as the classification becomes more closely aligned with individual transactions.ELO (2014) dispute our findings. This note reviews the econometric methodology and the market microstructure arguments behind our conclusions and responds to a number of inaccurate assertions. In addition, we summarize fresh empirical evidence that corroborates the hypothesis that VPIN is largely driven, and significantly distorted, by the volume and volatility innovations. Furthermore, we note there is compelling new evidence that transaction-based classification schemes are more accurate than the bulk volume strategies advocated by ELO for constructing VPIN. In fact, using perfect classification leads to diametrically opposite results relative to ELO (2011a, 2012a). © 2013 Elsevier B.V."
"Dahlhaus R.; Neddermeyer J.C.","Dahlhaus, Rainer (6701711052); Neddermeyer, Jan C. (26641911900)","6701711052; 26641911900","Online spot volatility-estimation and decomposition with nonlinear market microstructure noise models","2013","Journal of Financial Econometrics","12","1","nbt008","174","212","38","7","10.1093/jjfinec/nbt008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890368618&doi=10.1093%2fjjfinec%2fnbt008&partnerID=40&md5=d66c3567fc7554a45e524e896ba4f267","A technique for online estimation of spot volatility for high-frequency data is developed. The algorithm works directly on the transaction data and updates the volatility estimate immediately after the occurrence of a new transaction. Furthermore, a nonlinear market microstructure noise model is proposed that reproduces several stylized facts of highfrequency data. A computationally efficient particle filter is used that allows for the approximation of the unknown efficient prices and, in combination with a recursive EM algorithm, for the estimation of the volatility curve. We neither assume that the transaction times are equidistant nor do we use interpolated prices. We also make a distinction between volatility per time unit and volatility per transaction and provide estimators for both. More precisely we use a model with random time change where spot volatility is decomposed into spot volatility per transaction times the trading intensity-thus highlighting the influence of trading intensity on volatility. © The Author, 2013. Published by Oxford University Press. All rights reserved."
"Zhou Z.; Cheng S.-W.","Zhou, Zhou (56012957000); Cheng, Si-Wei (55477978300)","56012957000; 55477978300","Macroeconomic announcements and price discovery in the CSI 300 stock index futures market","2013","Xitong Gongcheng Lilun yu Shijian/System Engineering Theory and Practice","33","12","","3045","3053","8","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892891738&partnerID=40&md5=cffb462a846a8a4f36db19fe4e0e1e1c","Based on the high-frequency data of CSI 300 stock index and stock index futures, using information share model, this study examines the intraday price discovery effects of index futures and its influencing factors. The empirical results show that the price discovery effects of CSI 300 index futures market increase during the releasing of macroeconomic announcements, which may be derived from different trading mechanisms, different trader constitution and the index formation methods. In addition, the profits of industrial enterprises and the trade surplus play significant roles on the price discovery, while the CPI and other price information is not significant."
"Yan R.Z.; Li P.; Zeng Y.","Yan, Ru Zhen (57206843805); Li, Ping (57305328800); Zeng, Yong (57196948672)","57206843805; 57305328800; 57196948672","Optimal algorithmic trading strategy with the price appreciation cost","2014","Applied Mechanics and Materials","631-632","","","62","65","3","0","10.4028/www.scientific.net/AMM.631-632.62","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914144909&doi=10.4028%2fwww.scientific.net%2fAMM.631-632.62&partnerID=40&md5=14fa0dc8bd45f862e7457c17df1fe9e5","Financial markets has witnessed an explosion of algorithmic trading strategy which can help traders especially involved in high-frequency trading efficiently reduce invisible transaction cost. The VWAP strategy usually used by traders can only decrease the cost of price impact by breaking block order into small pieces. However, the behavior of such order splitting may result in inevitable opportunity cost as well as price appreciation. This paper establishes a new algorithmic trading strategy to minimize total transaction costs including price impact, opportunity cost and price appreciation. The results show that the total transaction cost of this optimal trading strategy is lower than VWAP strategy. © 2014 Trans Tech Publications, Switzerland."
